name,at,user_class,subcription_during_event,custom_answer_was,custom_question_marked_as
Viewed AV Track,2022-12-09T16:02:22,fnp_testprep,3  (1226),,
Viewed AV Track,2022-12-09T16:00:23,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-09T15:58:08,fnp_testprep,3  (1226),incorrect,
Selected Checklist Item,2022-12-09T15:48:28,fnp_testprep,3  (1226),,
Accessed Checklist,2022-12-09T15:48:11,fnp_testprep,3  (1226),,
Viewed Widget,2022-12-09T15:48:11,fnp_testprep,3  (1226),,
Started Practice Questions From Today Widget,2022-12-09T15:47:57,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:55,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:52,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:52,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:52,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:50,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:49,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:49,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:49,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:34,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:33,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:33,fnp_testprep,3  (1226),,
Adjusted Date Picker in Today Widget,2022-12-09T15:47:33,fnp_testprep,3  (1226),,
Dismissed Preferred Subscription Screen,2022-12-09T15:47:24,fnp_testprep,3  (1226),,
Localytics Purchased,2022-12-09T15:47:20,fnp_testprep,3  (1226),,
Selected Subscription Type,2022-12-09T15:46:03,fnp_testprep,,,
Buy Button Pressed,2022-12-09T15:46:03,fnp_testprep,,,
Buy Button Pressed,2022-12-09T15:45:53,fnp_testprep,,,
Selected Subscription Type,2022-12-09T15:45:53,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T15:45:51,fnp_testprep,,,
Viewed Membership Options,2022-12-09T15:45:51,fnp_testprep,,,
Buy Button Pressed,2022-12-09T15:41:42,fnp_testprep,,,
Selected Start Subscription,2022-12-09T15:41:42,fnp_testprep,,,
Selected Start Subscription,2022-12-09T15:41:22,fnp_testprep,,,
Buy Button Pressed,2022-12-09T15:41:22,fnp_testprep,,,
Viewed Benefit,2022-12-09T15:41:18,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T15:41:18,fnp_testprep,,,
Tapped on Buy Widget,2022-12-09T15:41:18,fnp_testprep,,,
Viewed Preferred Subscription Screen,2022-12-09T15:41:18,fnp_testprep,,,
Selected Nav Item,2022-12-09T15:41:03,fnp_testprep,,,
Notifications Enabled,2022-12-09T15:41:02,fnp_testprep,,,
Notifications Enabled,2022-12-09T15:41:02,fnp_testprep,,,
Selected Subscription Type,2022-12-09T15:40:41,fnp_testprep,,,
Buy Button Pressed,2022-12-09T15:40:41,fnp_testprep,,,
Buy Button Pressed,2022-12-09T15:40:32,fnp_testprep,,,
Selected Subscription Type,2022-12-09T15:40:32,fnp_testprep,,,
Selected Subscription Type,2022-12-09T11:49:01,fnp_testprep,,,
Buy Button Pressed,2022-12-09T11:49:01,fnp_testprep,,,
Selected Subscription Type,2022-12-09T11:48:08,fnp_testprep,,,
Buy Button Pressed,2022-12-09T11:48:08,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T11:44:42,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T11:43:40,fnp_testprep,,,
Viewed Membership Options,2022-12-09T11:43:39,fnp_testprep,,,
Selected Start Subscription,2022-12-09T11:17:28,fnp_testprep,,,
Buy Button Pressed,2022-12-09T11:17:28,fnp_testprep,,,
Tapped on Buy Widget,2022-12-09T11:17:24,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T11:17:24,fnp_testprep,,,
Viewed Benefit,2022-12-09T11:17:24,fnp_testprep,,,
Viewed Preferred Subscription Screen,2022-12-09T11:17:24,fnp_testprep,,,
Selected Nav Item,2022-12-09T11:17:04,fnp_testprep,,,
Notifications Enabled,2022-12-09T11:17:03,fnp_testprep,,,
Notifications Enabled,2022-12-09T11:17:03,fnp_testprep,,,
Buy Button Pressed,2022-12-09T05:22:20,fnp_testprep,,,
Selected Subscription Type,2022-12-09T05:22:20,fnp_testprep,,,
Viewed Membership Options,2022-12-09T05:21:58,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T05:21:58,fnp_testprep,,,
Selected Start Subscription,2022-12-09T05:21:51,fnp_testprep,,,
Buy Button Pressed,2022-12-09T05:21:51,fnp_testprep,,,
Tapped on Buy Widget,2022-12-09T05:21:48,fnp_testprep,,,
Viewed Preferred Subscription Screen,2022-12-09T05:21:48,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T05:21:48,fnp_testprep,,,
Viewed Benefit,2022-12-09T05:21:48,fnp_testprep,,,
iRate - User asked to be reminded later to rate app,2022-12-09T05:21:27,fnp_testprep,,,
Selected Nav Item,2022-12-09T05:21:27,fnp_testprep,,,
iRate - Rating Dialog displayed,2022-12-09T05:21:27,fnp_testprep,,,
Notifications Enabled,2022-12-09T05:21:27,fnp_testprep,,,
Notifications Enabled,2022-12-09T05:21:26,fnp_testprep,,,
Buy Button Pressed,2022-12-09T05:20:38,fnp_testprep,,,
Selected Subscription Type,2022-12-09T05:20:38,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-09T05:20:27,fnp_testprep,,,
Viewed Membership Options,2022-12-09T05:20:26,fnp_testprep,,,
Buy Button Pressed,2022-12-09T05:20:19,fnp_testprep,,,
Selected Start Subscription,2022-12-09T05:20:19,fnp_testprep,,,
Awarded Content Credits,2022-12-09T05:20:14,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-08T17:57:33,fnp_testprep,,,
Viewed Membership Options,2022-12-08T17:57:33,fnp_testprep,,,
Selected Start Subscription,2022-12-08T17:57:28,fnp_testprep,,,
Buy Button Pressed,2022-12-08T17:57:28,fnp_testprep,,,
Buy Button Pressed,2022-12-08T17:57:09,fnp_testprep,,,
Selected Start Subscription,2022-12-08T17:57:08,fnp_testprep,,,
Selected Nav Item,2022-12-08T17:57:04,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-08T17:57:04,fnp_testprep,,,
Viewed Preferred Subscription Screen,2022-12-08T17:57:04,fnp_testprep,,,
Viewed Benefit,2022-12-08T17:57:04,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-08T17:56:58,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-08T17:56:58,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-08T17:56:58,fnp_testprep,,,
Notifications Enabled,2022-12-08T17:56:52,fnp_testprep,,,
Selected Nav Item,2022-12-08T17:56:52,fnp_testprep,,,
Awarded Content Credits,2022-12-08T17:56:52,fnp_testprep,,,
Notifications Enabled,2022-12-08T17:56:52,fnp_testprep,,,
Answered Practice Question,2022-12-01T18:29:13,fnp_testprep,,incorrect,
Used Content Credit,2022-12-01T18:29:13,fnp_testprep,,,
Tagged Practice Question,2022-12-01T18:28:34,fnp_testprep,,incorrect,
Used Content Credit,2022-12-01T18:25:51,fnp_testprep,,,
Answered Practice Question,2022-12-01T18:25:51,fnp_testprep,,incorrect,
Tagged Practice Question,2022-12-01T18:24:50,fnp_testprep,,incorrect,
Used Content Credit,2022-12-01T18:22:05,fnp_testprep,,,
Answered Practice Question,2022-12-01T18:22:05,fnp_testprep,,incorrect,
Tagged Practice Question,2022-12-01T18:21:17,fnp_testprep,,incorrect,
Answered Practice Question,2022-12-01T10:08:49,fnp_testprep,,incorrect,
Used Content Credit,2022-12-01T10:08:48,fnp_testprep,,,
Tagged Practice Question,2022-12-01T10:07:40,fnp_testprep,,correct,
Used Content Credit,2022-12-01T10:06:08,fnp_testprep,,,
Answered Practice Question,2022-12-01T10:06:08,fnp_testprep,,correct,
Continued from QOTD,2022-12-01T10:05:35,fnp_testprep,,,
Viewed Streak Animation,2022-12-01T10:05:33,fnp_testprep,,,
Tagged Practice Question,2022-12-01T10:05:33,fnp_testprep,,correct,
Viewed QOTD Modal,2022-12-01T10:05:33,fnp_testprep,,,
Answered Practice Question,2022-12-01T10:04:53,fnp_testprep,,correct,
Selected QOTD Widget,2022-12-01T10:04:46,fnp_testprep,,,
Dismissed Preferred Subscription Screen,2022-12-01T10:04:29,fnp_testprep,,,
Viewed Membership Options,2022-12-01T10:04:13,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-01T10:04:13,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-01T09:37:12,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-01T09:36:26,fnp_testprep,,,
Viewed Membership Options,2022-12-01T09:36:25,fnp_testprep,,,
Viewed Upgrade Screen,2022-12-01T09:36:14,fnp_testprep,,,
Viewed Preferred Subscription Screen,2022-12-01T09:36:14,fnp_testprep,,,
Viewed Benefit,2022-12-01T09:36:14,fnp_testprep,,,
Selected Nav Item,2022-12-01T09:36:13,fnp_testprep,,,
Dismissed Pre-Message Modal,2022-12-01T09:36:04,fnp_testprep,,,
Viewed Pre-Message Modal,2022-12-01T09:36:00,fnp_testprep,,,
Dismissed QOTD Modal,2022-12-01T09:35:59,fnp_testprep,,,
Awarded Content Credits,2022-12-01T09:35:55,fnp_testprep,,,
Viewed Streak Animation,2022-12-01T09:34:18,fnp_testprep,,,
Tagged Practice Question,2022-12-01T09:34:17,fnp_testprep,,incorrect,
Viewed QOTD Modal,2022-12-01T09:34:17,fnp_testprep,,,
Answered Practice Question,2022-12-01T09:32:50,fnp_testprep,,incorrect,
Selected QOTD Widget,2022-12-01T09:31:50,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-01T09:31:08,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-01T09:31:07,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-01T09:31:07,fnp_testprep,,,
Adjusted Date Picker in Today Widget,2022-12-01T09:31:07,fnp_testprep,,,
Viewed Start Widget,2022-12-01T09:31:05,fnp_testprep,,,
Viewed Start Widget,2022-12-01T09:31:04,fnp_testprep,,,
Viewed Start Widget,2022-12-01T09:31:04,fnp_testprep,,,
Notifications Enabled,2022-12-01T09:31:03,fnp_testprep,,,
Notifications Enabled,2022-12-01T09:31:03,fnp_testprep,,,
Performed Background Fetch,2022-08-01T22:23:16,fnp_testprep,,,
Notifications Enabled,2022-08-01T21:23:03,fnp_testprep,,,
Notifications Enabled,2022-08-01T21:23:03,fnp_testprep,,,
Selected Nav Item,2022-04-13T17:41:12,fnp_testprep,,,
Viewed Upgrade Screen,2022-04-13T17:41:12,fnp_testprep,,,
Selected Nav Item,2022-04-13T17:41:11,fnp_testprep,,,
Viewed Upgrade Screen,2022-04-13T17:41:09,fnp_testprep,,,
Viewed Preferred Subscription Screen,2022-04-13T17:41:09,fnp_testprep,,,
Awarded Content Credits,2022-04-13T17:41:09,fnp_testprep,,,
Performed Background Fetch,2022-04-13T17:41:09,fnp_testprep,,,
Viewed Benefit,2022-04-13T17:41:09,fnp_testprep,,,
Used Content Credit,2022-04-12T18:10:08,fnp_testprep,,,
Answered Practice Question,2022-04-12T18:10:08,fnp_testprep,,incorrect,
Tagged Practice Question,2022-04-12T18:09:22,fnp_testprep,,correct,
Answered Practice Question,2022-04-12T18:08:56,fnp_testprep,,correct,
Used Content Credit,2022-04-12T18:08:56,fnp_testprep,,,
Selected Rate Limit Widget,2022-04-12T18:08:39,fnp_testprep,,,
Viewed Dashboard,2022-04-12T18:08:21,fnp_testprep,,,
Viewed Topic Category,2022-04-12T18:08:18,fnp_testprep,,,
Opened Search,2022-04-12T18:08:18,fnp_testprep,,,
Selected Nav Item,2022-04-12T18:08:10,fnp_testprep,,,
Apptimize experiment,2022-04-12T18:07:41,fnp_testprep,,,
Localytics Registered,2022-04-12T18:07:21,fnp_testprep,,,
Selected Nav Item,2022-04-12T18:07:21,fnp_testprep,,,
Awarded Content Credits,2022-04-12T18:07:21,fnp_testprep,,,
Viewed Upgrade Screen,2022-04-12T18:07:21,fnp_testprep,,,
Selected Nav Item,2022-04-12T18:07:21,fnp_testprep,,,
Viewed Dashboard,2022-04-12T18:07:21,fnp_testprep,,,
